,Category,Message,category,my_texed
578,ham,Ü wait 4 me in sch i finish ard 5..,1,ü wait 4 in sch finish ard 5
579,spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",0,"mobil number won , claim call us back ring claim hot line 09050005321"
580,ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",1,arngd marriag while u r walkin unfortuntli snake bite bt love marriag danc frnt d snake amp sayin bite bite
581,ham,Huh so early.. Then ü having dinner outside izzit?,1,huh earli then ü dinner outsid izzit
582,ham,Ok anyway no need to change with what you said,1,ok anyway need chang what said
583,spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,0,we tri contact re repli our offer 750 min 150 textand new video phone call 08002988890 or repli free deliveri tomorrow
584,ham,my ex-wife was not able to have kids. Do you want kids one day?,1,wa abl have kid do want kid one day
585,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,1,so scotland hope are over show jjc tendenc take care live dream
586,ham,Tell them u have a headache and just want to use 1 hour of sick time.,1,tell u a headach just want use 1 hour sick time
587,ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",1,i dun thk quit yet hmmm go jazz yogasana oso we go meet em our lesson den
588,ham,Pete can you please ring meive hardly gotany credit,1,pete you pleas ring meiv hardli gotani credit
589,ham,Ya srsly better than yi tho,1,ya srsli better yi tho
590,ham,"I'm in a meeting, call me later at",1,i a meet call later
591,spam,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",0,for ur chanc win wkli shop spree txt shop 80878 t & c www.txt-2-shop.com custcar 08715705022 1x150p/wk
592,spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,0,you been special select receiv 2000 pound award call 08712402050 befor line close cost 10ppm 16+ t cs appli ag promo
593,spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,0,privat your 2003 account statement 07753741225 show 800 s. m. point call 08715203677 identifi code 42478 expir
594,ham,You still at grand prix?,1,you still grand prix
595,ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",1,i met stranger choos as friend as long as the world stand friendship never end let friend forev ! gud nitz
596,ham,I am great! How are you?,1,i great how you
597,ham,Gud mrng dear have a nice day,1,gud mrng dear a nice day
598,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,0,you an import custom servic announc call freephon 0800 542 0825
599,ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,1,will wa exhaust train morn too much wine pie you sleep well
600,ham,I'm going out to buy mum's present ar.,1,i go to buy mum present ar
601,ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,1,mind blastin no tsunami occur now rajnik stop swim indian ocean :
602,ham,If u sending her home first it's ok lor. I'm not ready yet.,1,if u send home first ok lor i readi yet
603,ham,Speaking of does he have any cash yet?,1,speak doe have cash yet
604,ham,Be happy there. I will come after noon,1,be happi i come noon
605,ham,Meet after lunch la...,1,meet lunch la
606,ham,TaKe CaRE n gET WeLL sOOn,1,take care n get well soon
607,spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,0,xclusiv clubsaisai 2morow soire special zouk with nichol from rose 2 all ladi ! info 07946746291/07880867867
608,ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,1,i meant say cant wait see u get bore thi bridgwat banter
609,ham,Neva mind it's ok..,1,neva mind ok
610,ham,"It's fine, imma get a drink or somethin. Want me to come find you?",1,it fine imma get drink somethin want to come find
611,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,0,22 day kick for euro2004 u kept date the latest news result daili to be remov send get txt stop to 83222
612,ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,1,it valentin game send di msg all ur friend . .. if 5 answer r same someon realli love ques- colour suit the best rpli
613,ham,I have many dependents,1,i mani depend
614,ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,1,thanx4 today cer it wa nice 2 catch up but we ave 2 find more time more often oh well take care c u
615,ham,I called and said all to him:)then he have to choose this future.,1,i call said to ) he to choos futur
616,ham,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...,1,happi valentin day i know earli hundr handsom beauti wish so i thought finish aunti uncl 1st
617,ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,1,he like v shock leh co tell shuhui like tell leona also like dat almost know liao he got ask abt ur reaction lor
618,ham,For my family happiness..,1,for famili happi
619,ham,I come n pick ü up... Come out immediately aft ur lesson...,1,i come n pick ü come immedi aft ur lesson
620,ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,1,let be snow let be snow thi kind weather bring ppl togeth friendship grow
621,ham,Dear we got  &lt;#&gt;  dollars hi hi,1,dear got lt # gt dollar hi hi
622,ham,Good words.... But words may leave u in dismay many times.,1,good word but word may leav u dismay mani time
623,ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,1,make sure alex know hi birthday is over in fifteen minut as far as you concern
624,ham,"sorry, no, have got few things to do. may be in pub later.",1,sorri have got thing do may in pub later
625,ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",1,nah straight you just bring bud drink someth actual littl use straight cash
626,ham,"Haha good to hear, I'm officially paid and on the market for an 8th",1,haha good hear i offici paid on market an 8th
627,ham,How many licks does it take to get to the center of a tootsie pop?,1,how mani lick it take get the center a tootsi pop
628,ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,1,yup thk r e teacher said will make face look longer darren ask not 2 cut short
629,spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,0,new textbuddi chat 2 horni guy ur area 4 25p free 2 receiv search postcod at . txt one name 89693
630,spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,0,today vodafon number end 4882 select receiv a award if number match call 09064019014 receiv award
631,ham,Please dont say like that. Hi hi hi,1,pleas dont say like hi hi hi
632,ham,Thank u!,1,thank u
633,ham,Oh that was a forwarded message. I thought you send that to me,1,oh wa forward messag i thought send to
634,ham,Got it. Seventeen pounds for seven hundred ml – hope ok.,1,got seventeen pound seven hundr ml hope ok
635,spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",0,dear voucher holder 2 claim week offer your pc go http //www.e-tlp.co.uk/expressoff ts cs stop text txt stop 80062
636,ham,Me n him so funny...,1,me n so funni
637,ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",1,sweetheart hope are have kind day have one load reason smile biola
638,ham,When ü login dat time... Dad fetching ü home now?,1,when ü login dat time dad fetch ü home
639,ham,"What will we do in the shower, baby?",1,what we in shower babi
640,ham,I had askd u a question some hours before. Its answer,1,i askd u question hour it answer
641,ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",1,well imma definit need restock thanksgiv i let know i
642,ham,"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",1,said kiss kiss ca the sound effect he gorgeou man he kind person need a smile brighten day
643,ham,Probably gonna swing by in a wee bit,1,probabl gon na swing in wee bit
644,ham,Ya very nice. . .be ready on thursday,1,ya . readi thursday
645,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,1,allo we brave buse taken the train triumph i mean re b ham have jolli good rest week
646,ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",1,watch cartoon listen music amp eve to go templ amp church what u
647,ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,1,do mind i ask happen you dont to say it uncomfort
648,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,0,privat your 2003 account statement show 800 s. m. point call 08715203694 identifi code 40533 expir
649,ham,No prob. I will send to your email.,1,no prob i send your email
650,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",0,"you won 1,000 cash a 2,000 prize to claim call09050000327 t c rstm sw7 3ss 150ppm"
651,ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),1,that cool sometim slow gentl sonetim rough hard )
652,ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,1,i gon na say sorri i would as normal start panic time sorri are see tuesday
653,ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!",1,wait you know wesley town i bet doe hella drug
654,ham,Fine i miss you very much.,1,fine miss veri much
655,ham,Did u got that persons story,1,did u got person stori
656,ham,Tell them the drug dealer's getting impatient,1,tell the drug dealer get impati
657,ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",1,sun cant come earth send luv ray cloud cant come river send luv rain i cant come meet u can send care msg gud evng
658,ham,You will be in the place of that man,1,you be the place that man
659,ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",1,it doesnt make sens take there unless free if need know wikipedia.com
660,spam,88800 and 89034 are premium phone services call 08718711108,0,88800 89034 premium phone servic call 08718711108
661,ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",1,under sea lay rock in rock is envelop in envelop is paper on paper are 3 word '
662,ham,Then mum's repent how?,1,then mum repent
663,ham,Sorry me going home first... Daddy come fetch ü later...,1,sorri go home first daddi come fetch ü later
664,ham,Leave it de:-). Start Prepare for next:-)..,1,leav de - . start prepar next - ..
665,ham,Yes baby! We can study all the positions of the kama sutra ;),1,ye babi we studi the posit the kama sutra )
666,ham,En chikku nange bakra msg kalstiya..then had tea/coffee?,1,en chikku nang bakra msg kalstiya had ?
667,ham,Carlos'll be here in a minute if you still need to buy,1,carlo here a minut you still need buy
668,ham,This pay is  &lt;DECIMAL&gt;  lakhs:),1,thi pay lt decim gt lakh )
669,ham,Have a good evening! Ttyl,1,have good even ttyl
670,ham,Did u receive my msg?,1,did u receiv msg
671,ham,Ho ho - big belly laugh! See ya tomo,1,ho ho big belli laugh see ya tomo
672,spam,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",0,sm ac sun0819 post hello '' you seem cool want say hi hi ! '' stop send stop 62468
673,spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,0,get ur 1st rington free now repli thi msg tone gr8 top 20 tone your phone everi week per wk 2 opt send stop 08452810071 16
674,ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",1,ditto and wo worri me say anyth to anymor like said last night whatev you want i do the peac
675,ham,"I've got  &lt;#&gt; , any way I could pick up?",1,"i got lt # gt , way i could pick"
676,ham,"I dont knw pa, i just drink milk..",1,i dont knw pa just drink milk
677,ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?,1,mayb ! say hi and find if got card great escap wetherspoon
678,ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",1,piggi r u awak i bet u still sleep i go 4 lunch
679,ham,Cause I'm not freaky lol,1,caus i freaki lol
680,ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,1,miss call caus i yell scrappi miss u ca wait u come home i lone today
681,ham,What is this 'hex' place you talk of? Explain!,1,what thi ' place talk explain
682,ham,Ü log off 4 wat. It's sdryb8i,1,ü log 4 wat it sdryb8i
683,ham,Is xy going 4 e lunch?,1,is xy go 4 e lunch
684,spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,0,hi i sue i 20 year old work a lapdanc i love sex text live i my bedroom text sue 89555 by textoper g2 1da 150ppmsg
685,ham,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,1,i want ask ü wait 4 to finish lect co lect finish an hour anyway
686,ham,Have you finished work yet? :),1,have finish work yet :
687,ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",1,everi king wa onc a cri babi and everi great build wa onc a map not imprtant where u r today but where u wil reach tomorw gud ni8
688,ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",1,dear me case u r come cochin pl call bfore u shall also reach tell which day u r am engag an holiday
689,ham,Thanks love. But am i doing torch or bold.,1,thank love but i torch bold
690,spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,0,forward 448712404000 pleas call 08712404000 immedi there an urgent messag wait you
691,ham,Was the farm open?,1,wa farm open
692,ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",1,sorri troubl u can buy 4d my dad 1405 1680 1843 all 2 big 1 small sat n sun thanx
693,ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola",1,my sister law hope are a great month just say hey abiola
694,ham,Will purchase d stuff today and mail to you. Do you have a po box number?,1,will purchas stuff today mail do you have po box number
695,ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,1,ah poop look like ill prob send my laptop to get fix cuz ha gpu problem
696,ham,Good. Good job. I like entrepreneurs,1,good good job i like entrepreneur
697,ham,"Aight, you close by or still down around alex's place?",1,aight close or still around alex place
698,ham,meet you in corporation st outside gap … you can see how my mind is working!,1,meet in corpor st outsid gap can see my mind work
699,ham,Mum ask ü to buy food home...,1,mum ask ü buy food home
700,ham,K..u also dont msg or reply to his msg..,1,k u also dont msg repli hi msg
701,ham,How much r ü willing to pay?,1,how much r ü will pay
702,ham,"Sorry, I'll call later",1,sorri i call later
703,ham,What is important is that you prevent dehydration by giving her enough fluids,1,what import that prevent dehydr give enough fluid
704,ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",1,that bit weird even - is do suppos happen but good idea sure will be in pub
705,ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,1,true dear sat pray even felt sm in time
706,ham,"I don't think I can get away for a trek that long with family in town, sorry",1,i think i get away a trek long famili town sorri
707,ham,So when do you wanna gym harri,1,so do wan na gym harri
708,ham,Quite late lar... Ard 12 anyway i wun b drivin...,1,quit late lar ard 12 anyway wun b drivin
709,spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",0,to review keep fantast nokia game deck club nokia go 2 . unsubscrib alert repli the word out
710,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,0,4mth half price orang line rental latest camera phone 4 free had phone ? call mobilesdirect free 08000938767 updat or2stoptxt t cs
711,ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",1,height confid all aeronaut professor wer calld amp wer askd 2 sit an aeroplan aftr sat wer told dat plane ws made their student dey hurri of plane bt 1 didnt move he said '' it made my student wont even start datz confid
712,ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,1,it seem like weird time the night all and g want for come smoke the day when shitstorm attribut to me alway come and make everyon smoke
713,spam,08714712388 between 10am-7pm Cost 10p,0,08714712388 cost 10p
714,ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",1,save stress if the person a dorm account send account detail the money be sent you
715,ham,He also knows about lunch menu only da. . I know,1,he also know lunch menu . i know
716,ham,When i have stuff to sell i.ll tell you,1,when have stuff sell tell
717,spam,#ERROR!,0,error
718,ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,1,book lesson you msg i call after work sth i go get spec my membership px3748
719,spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,0,you won guarante cash a prize to claim yr prize call custom servic repres 08714712394
720,ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,1,macha dont feel assum one even me i some wonder plan both life begin me anytim
721,ham,Oh is it? Send me the address,1,oh it send the address
722,ham,S'fine. Anytime. All the best with it.,1,anytim all best it .
723,ham,That is wondar full flim.,1,that wondar full flim
724,ham,Ya even those cookies have jelly on them,1,ya even cooki jelli them
725,ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",1,the world run all feel same have admit i am is correct let call is keep run the world may be u r also run
726,ham,Got it! It looks scrumptious... daddy wants to eat you all night long!,1,got it look scrumptiou daddi want eat all night long
727,ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,1,of co lar not ba dao ok 1 pm lor y u never ask we go ah i said u would ask fri he said u ask today
728,ham,"Alright omw, gotta change my order to a half8th",1,alright omw got ta chang order a half8th
729,ham,Exactly. Anyways how far. Is jide her to study or just visiting,1,exactli anyway far is jide to studi just visit
730,ham,Dunno y u ask me.,1,dunno u ask
731,spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,0,email alertfrom jeri stewarts 2kbsubject low-cost prescripiton drvgsto listen email call 123
732,ham,No he didn't. Spring is coming early yay!,1,no did . spring come earli yay
733,ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,1,lol wo feel bad i use money take out a steak dinner
734,ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,1,even u dont get troubl convinc tel onc twice just tel neglect msg dont c read just dont repli
735,ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,1,leav qatar tonit search an went add in ur prayer
736,ham,Then why no one talking to me,1,then no one talk me
737,ham,Thanks for looking out for me. I really appreciate.,1,thank look for i realli appreci
738,spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,0,hi custom loyalti offer the new nokia6650 mobil onli txtauction txt word start no 81151 get now 4t ctxt tc
739,ham,Wish i were with you now!,1,wish were you
740,ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,1,haha mayb u rite u know well da feel be like someon gd lor u faster go find one all gal our group attach liao
741,ham,Yes i will be there. Glad you made it.,1,ye will there glad made
742,ham,Do well :)all will for little time. Thing of good times ahead:,1,do well ) will littl time thing good time ahead
743,ham,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,1,just got have be of room soon … had put clock back til 8 shout everyon get and realis wa wahay anoth hour bed
744,ham,Ok. There may be a free gym about.,1,ok there may a free gym
745,ham,Men like shorter ladies. Gaze up into his eyes.,1,men like shorter ladi gaze into eye
746,ham,Dunno he jus say go lido. Same time 930.,1,dunno ju say go lido same time 930
747,ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",1,i promis take good care you princess i to run pleas send pic you get chanc ttyl
748,spam,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,0,u subscrib the best mobil content servic the uk per 10 day you send stop 82324 helplin 08706091795
749,ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,1,is a reason not spoken year anyway a great week all best your exam
750,ham,By monday next week. Give me the full gist,1,by monday next week give the full gist
751,spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",0,do realiz in 40 year have thousand old ladi run around tattoo
752,spam,You have an important customer service announcement from PREMIER.,0,you an import custom servic announc premier
753,ham,Dont gimme that lip caveboy,1,dont gim that lip caveboy
754,ham,When did you get to the library,1,when you get the librari
755,ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?!,1,reali recognis number am confus ) r u pleas !
756,ham,So why didnt you holla?,1,so didnt holla
757,ham,Cant think of anyone with * spare room off * top of my head,1,cant think anyon spare room top my head
758,ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",1,faith make thing possibl hope make thing work love make thing beauti may have three christma merri christma
759,ham,U should have made an appointment,1,u have made appoint
760,ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",1,call when is/ar my phone vibrat act and i might hear text
761,spam,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.",0,romant pari 2 night 2 flight book 4 next year call 08704439680t cs appli
762,ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",1,we at grandma oh dear u still ill i felt shit morn think i am hungov anoth night we leav sat
763,spam,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,0,urgent ur guarante award still unclaim call 09066368327 now claimcod m39m51
764,ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,1,noth ju tot u would ask co u ba gua but we went mt faber yest yest ju went alreadi mah today go ju call lor
765,ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",1,wish famili merri x ma and happi new year advanc
766,spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,0,ur award citi break could win summer shop spree everi wk txt store 88039 skilgm tscs087147403231winawk age16
767,ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",1,i nt goin got somethin unless meetin 4 dinner lor haha wonder will go ti time
768,ham,"Sorry, I'll call later",1,sorri i call later
769,ham,I cant pick the phone right now. Pls send a message,1,i cant pick phone right pl send messag
770,ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,1,lol i know they dramat school alreadi close tomorrow appar ca drive the inch snow suppos get
771,ham,Not getting anywhere with this damn job hunting over here!,1,not get anywher thi damn job hunt here
772,ham,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan?,1,lol u drunkard just my hair d moment yeah still 4 tonight wat plan
773,ham,"idc get over here, you are not weaseling your way out of this shit twice in a row",1,idc get here are weasel way of shit twice a row
774,ham,I wil be there with in  &lt;#&gt;  minutes. Got any space,1,i wil there in lt # gt minut got space
775,ham,Just sleeping..and surfing,1,just sleep surf
776,ham,Thanks for picking up the trash.,1,thank pick the trash
777,ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,1,whi go tell friend not sure you want live he smoke much spend hour beg him to come smoke
778,ham,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,1,hi kate wa love see tonight ill phone tomorrow i got sing a guy gave hi card xxx
779,ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,1,happi new year dear brother i realli miss just got number decid send thi text wish onli happi abiola
780,ham,That means get the door,1,that mean get door
781,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,1,your opinion me 1 over 2 jada 3 kusruthi 4 lovabl 5 silent 6 spl charact 7 not matur 8 stylish 9 simpl pl repli
782,ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",1,hmmm i thought said 2 hour slave 3 you late how i punish
783,ham,Beerage?,1,beerag
784,spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,0,you an import custom servic announc premier call freephon 0800 542 0578
785,ham,Dont think so. It turns off like randomlly within 5min of opening,1,dont think it turn like randomlli within 5min open
786,ham,"She was supposed to be but couldn't make it, she's still in town though",1,she suppos be could make she still town though
787,ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,1,it it most the time fix spell but sometim it get complet diff word go figur
788,spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),0,ever thought live good life a perfect partner just txt back name age join mobil commun ( )
789,spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",0,5 free top polyphon tone call 087018728737 nation rate get toppoli tune sent everi week text subpoli 81618 £3 per pole unsub 08718727870
790,ham,Gud mrng dear hav a nice day,1,gud mrng dear hav nice day
791,ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,1,thi hope enjoy game yesterday sorri not in touch pl know you fondli bein thot have great week abiola
792,ham,All e best 4 ur driving tmr :-),1,all e best 4 ur drive tmr -
793,ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,1,y where u at dogbreath it just sound like jan c al ! ! ! !
794,ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,1,omg i want scream i weigh and i lost weight woohoo
795,ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,1,there gener one it uncount noun u the dictionari piec research
796,ham,it's really getting me down just hanging around.,1,realli get down hang around
797,spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",0,orang custom may claim free camera phone upgrad your loyalti call on 0207 153 9996 offer end 14thmarch t c appli opt-out availa
798,ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,1,petey boy wherear me all friendsar thekingshead come if canlov nic
799,ham,Ok i msg u b4 i leave my house.,1,ok msg u b4 leav hous
800,ham,Gimme a few was  &lt;#&gt;  minutes ago,1,gim a wa lt # gt minut ago
801,spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",0,last chanc claim ur worth discount voucher today text shop 85023 savamob offer mobil t cs savamob pobox84 m263uz £3.00 sub 16
802,ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,1,appt at lt time gt not fault u listen i told u twice
